TEAM,RANK,FINAL,RECORD,ROTO,CONSISTENCY,POINTS,ROSTER
Spos Before Hos,1,1.6,1,1,1,1,2
Cool Hand Lou,2,3.6,2,5,3,3,1
Team Gregory,3,4.4,4,3,2,2,3
Deflate Deez Nutz,4,7.2,4,2,8,8,6
OhNo Romo,5,8.2,4,8,7,7,7
Team Force,6,8.8,2,10,9,10,9
Team Wasserman,7,10.4,12,4,0,4,8
Team Frisch,8,10.6,8,5,5,5,14
SFV Aguilar,8,10.6,8,7,6,6,10
Team Thomas,10,12,7,9,10,9,11
Gurley Gone Wild,11,12.6,8,11,11,12,5
Hebrew Wolves,12,15,12,12,12,11,4
Little Miss Moffet,12,15,8,13,13,13,12
SUPERMAX LOCO,14,18,12,13,14,14,13
