Rank,Team,Score %,QB,RB,WR,FLX,TE,K,DST
1,Spos Before Hos,100,9,6,2,1,3,8,8
2,Team Gregory,98,1,3,1,7,13,1,3
3,Team Wasserman,95.7,13,1,13,4,9,7,12
4,Gurley Gone Wild,95.3,7,5,4,1,11,10,1
5,Team Force,94,5,7,5,5,7,6,2
6,Cool Hand Lou,94,10,2,8,3,14,4,7
7,OhNo RoMo,88,8,9,6,10,5,12,14
8,Hebrew Wolves,86.9,12,8,9,11,8,3,5
9,Team Thomas,86.2,2,12,11,9,4,13,4
10,Little Miss Moffett,84.9,4,10,10,14,6,2,10
11,SUPERMAX LOCO,84.7,3,11,12,13,2,5,13
12,SFV Aguilar,80.6,6,13,14,12,1,11,6
13,Deflate Deez Nutz,69.4,11,14,3,8,10,9,11
14,Team Frisch,67.5,14,4,7,6,12,14,9
