Rank,Team,"Score %",QB,RB,WR,FLX,TE,K,DST
1,"Team Gregory",100.0,2,7,3,2,9,3,9
2,"Team Thomas",97.3,1,12,4,3,5,5,10
3,"Team Cudykier",96.1,12,4,7,4,7,1,2
4,"Spos Before Hos",95.5,9,13,2,1,3,4,5
5,"Deflate Deez Nutz",92.3,8,10,1,6,10,10,8
6,"Team Frisch",89.6,3,5,13,10,6,6,6
7,"Cool Hand Lou",88.8,11,2,6,7,12,13,13
8,"Gurley Gone Wild",88.0,10,1,12,11,8,11,3
9,"SFV Aguilar",87.2,4,8,11,13,2,8,14
10,"OhNo RoMo",86.3,13,9,5,8,4,12,11
11,"Little Miss Moffett",85.3,6,11,10,12,13,2,1
12,"Team Force",82.7,7,3,9,9,14,8,7
13,"Team Wasserman",79.0,5,6,14,14,11,14,12
14,"SUPERMAX RULES!",77.3,14,14,8,5,1,7,4
